INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172015769,2629,Harassment,HARASSMENT,C6,188,FALSE,2017-02-26T22:27:00Z,2017,2,Sunday,22,Part Two,SAINT MARGARET ST,42.32183637,-71.05928338,"(42.32183637, -71.05928338)"
I162102213,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,115,FALSE,2016-10-30T18:00:00Z,2016,10,Sunday,18,Part Three,LINCOLN ST,42.35171595,-71.0582247,"(42.35171595, -71.05822470)"
I172032552,351,Robbery,ROBBERY - BANK,D14,815,FALSE,2017-04-26T16:24:00Z,2017,4,Wednesday,16,Part One,N HARVARD ST,42.36151417,-71.13019629,"(42.36151417, -71.13019629)"
I162070390,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,NA,FALSE,2016-08-29T23:20:00Z,2016,8,Monday,23,Part Three,NA,NA,NA,"(0.00000000, 0.00000000)"
I162028673,2647,Other,THREATS TO DO BODILY HARM,B2,311,FALSE,2016-04-13T14:18:00Z,2016,4,Wednesday,14,Part Two,WARREN ST,42.31776637,-71.08207709,"(42.31776637, -71.08207709)"
I182078394,3115,Investigate Person,INVESTIGATE PERSON,A7,19,FALSE,2018-09-27T19:00:00Z,2018,9,Thursday,19,Part Three,BENNINGTON ST,42.37724639,-71.03259708,"(42.37724639, -71.03259708)"
I182060538,3201,Property Lost,PROPERTY - LOST,B3,441,FALSE,2018-07-31T16:38:00Z,2018,7,Tuesday,16,Part Three,TALBOT AVE,42.29389648,-71.08451577,"(42.29389648, -71.08451577)"
I152091324,3115,Investigate Person,INVESTIGATE PERSON,A1,116,FALSE,2015-11-03T17:27:00Z,2015,11,Tuesday,17,Part Three,BEACH ST,42.35120708,-71.05987799,"(42.35120708, -71.05987799)"
I172105823,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,458,FALSE,2017-12-23T14:12:00Z,2017,12,Saturday,14,Part Three,BLUE HILL AVE,42.3018969,-71.08554944,"(42.30189690, -71.08554944)"
I152061602,617,Larceny,LARCENY THEFT FROM BUILDING,A7,19,FALSE,2015-07-25T18:15:00Z,2015,7,Saturday,18,Part One,SARATOGA ST,42.37784577,-71.03303551,"(42.37784577, -71.03303551)"
I152107356,3301,Verbal Disputes,VERBAL DISPUTE,B3,469,FALSE,2015-12-29T20:48:00Z,2015,12,Tuesday,20,Part Three,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I172045360,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,NA,FALSE,2017-06-08T00:49:00Z,2017,6,Thursday,0,Part Three,BOYLSTON ST,NA,NA,"(0.00000000, 0.00000000)"
I172033817,3201,Property Lost,PROPERTY - LOST,C6,194,FALSE,2017-04-29T23:50:00Z,2017,4,Saturday,23,Part Three,WOODWARD ST,42.33145179,-71.05616796,"(42.33145179, -71.05616796)"
I182000445,3115,Investigate Person,INVESTIGATE PERSON,B3,439,FALSE,2018-01-02T16:46:00Z,2018,1,Tuesday,16,Part Three,STRATTON ST,42.28933096,-71.08351742,"(42.28933096, -71.08351742)"
I172049310,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,349,FALSE,2017-06-20T11:16:00Z,2017,6,Tuesday,11,Part Two,ADAMS ST,42.30313982,-71.06057855,"(42.30313982, -71.06057855)"
I182065832,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,NA,FALSE,2018-08-17T20:10:00Z,2018,8,Friday,20,Part Two,TREMONT ST,NA,NA,"(0.00000000, 0.00000000)"
I152090135,3125,Warrant Arrests,WARRANT ARREST,D14,796,FALSE,2015-10-30T22:25:00Z,2015,10,Friday,22,Part Three,COMMONWEALTH AVE,42.35053956,-71.13106722,"(42.35053956, -71.13106722)"
I172079624,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,545,FALSE,2017-09-24T11:18:00Z,2017,9,Sunday,11,Part Three,GORDON AVE,42.25992567,-71.1309563,"(42.25992567, -71.13095630)"
I172082952,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,B2,328,FALSE,2017-10-05T09:58:00Z,2017,10,Thursday,9,Part Three,COLUMBIA RD,42.30876959,-71.07460717,"(42.30876959, -71.07460717)"
I182009348,617,Larceny,LARCENY THEFT FROM BUILDING,E13,641,FALSE,2018-02-05T00:21:00Z,2018,2,Monday,0,Part One,CENTRE ST,42.31674811,-71.11356249,"(42.31674811, -71.11356249)"
I162023973,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,E18,492,FALSE,2016-03-28T16:19:00Z,2016,3,Monday,16,Part Three,METROPOLITAN AVE,42.26409,-71.117875,"(42.26409000, -71.11787500)"
I152088092,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,402,FALSE,2015-10-23T14:40:00Z,2015,10,Friday,14,Part Two,ASHMONT ST,42.28534033,-71.07118543,"(42.28534033, -71.07118543)"
I162098399,1402,Vandalism,VANDALISM,C11,396,FALSE,2016-12-02T17:15:00Z,2016,12,Friday,17,Part Two,WELLES AVE,42.2896322,-71.06490373,"(42.28963220, -71.06490373)"
I172016470,613,Larceny,LARCENY SHOPLIFTING,B3,428,FALSE,2017-03-01T10:17:00Z,2017,3,Wednesday,10,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)"
I182004181,617,Larceny,LARCENY THEFT FROM BUILDING,D14,806,FALSE,2018-01-16T15:25:00Z,2018,1,Tuesday,15,Part One,WAVERLY ST,42.36083891,-71.14533675,"(42.36083891, -71.14533675)"
I172003682,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,94,FALSE,2017-01-14T13:48:00Z,2017,1,Saturday,13,Part One,CLINTON ST,42.36067984,-71.05482325,"(42.36067984, -71.05482325)"
I152088395,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,D4,131,FALSE,2015-10-23T17:30:00Z,2015,10,Friday,17,Part Three,BEACON ST,42.35393998,-71.07802992,"(42.35393998, -71.07802992)"
I162084484,2102,Operating Under the Influence,OPERATING UNDER THE INFLUENCE DRUGS,C11,360,FALSE,2016-10-15T12:39:00Z,2016,10,Saturday,12,Part Two,DORCHESTER AVE,42.29839246,-71.06070797,"(42.29839246, -71.06070797)"
I172046735,1402,Vandalism,VANDALISM,A1,118,FALSE,2017-06-11T18:00:00Z,2017,6,Sunday,18,Part Two,CHARLES ST S,42.35138139,-71.06704384,"(42.35138139, -71.06704384)"
I172096059,3301,Verbal Disputes,VERBAL DISPUTE,B3,455,FALSE,2017-11-17T15:00:00Z,2017,11,Friday,15,Part Three,NORWELL ST,42.30195045,-71.07798088,"(42.30195045, -71.07798088)"
I152084786,2407,Disorderly Conduct,ANNOYING AND ACCOSTING,A7,942,FALSE,2015-10-09T12:48:00Z,2015,10,Friday,12,Part Two,WALDEMAR AVE,42.39348242,-71.01068177,"(42.39348242, -71.01068177)"
I172063186,3410,Towed,TOWED MOTOR VEHICLE,A15,46,FALSE,2017-08-03T08:59:00Z,2017,8,Thursday,8,Part Three,MEDFORD ST,42.38236587,-71.06534912,"(42.38236587, -71.06534912)"
I152083416,2647,Other,THREATS TO DO BODILY HARM,A15,55,FALSE,2015-10-07T16:44:00Z,2015,10,Wednesday,16,Part Two,GREEN ST,42.37651278,-71.06346666,"(42.37651278, -71.06346666)"
I162024952,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,355,FALSE,2016-03-31T18:40:00Z,2016,3,Thursday,18,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I162050942,3301,Verbal Disputes,VERBAL DISPUTE,B2,331,FALSE,2016-06-27T06:32:00Z,2016,6,Monday,6,Part Three,BAKER AVE,42.31238668,-71.07086154,"(42.31238668, -71.07086154)"
I172003812,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,119,FALSE,2017-01-15T01:18:00Z,2017,1,Sunday,1,Part Two,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I172019167,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,324,FALSE,2017-03-10T20:46:00Z,2017,3,Friday,20,Part Three,BROOKFORD ST,42.31840696,-71.0763541,"(42.31840696, -71.07635410)"
I172036407,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,188,FALSE,2017-04-19T23:00:00Z,2017,4,Wednesday,23,Part Three,BOSTON ST,42.32287757,-71.06075758,"(42.32287757, -71.06075758)"
I182076994,3301,Verbal Disputes,VERBAL DISPUTE,C11,403,FALSE,2018-09-23T16:23:00Z,2018,9,Sunday,16,Part Three,WASHINGTON ST,42.27963256,-71.07000176,"(42.27963256, -71.07000176)"
I172022583,3160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",A1,77,FALSE,2017-03-23T03:00:00Z,2017,3,Thursday,3,Part Three,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I172011174,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,468,FALSE,2017-02-10T21:17:00Z,2017,2,Friday,21,Part Three,HAZLETON ST,42.27997063,-71.09553354,"(42.27997063, -71.09553354)"
I172055579,3201,Property Lost,PROPERTY - LOST,A1,94,FALSE,2017-07-10T02:15:00Z,2017,7,Monday,2,Part Three,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
I172079615,3125,Warrant Arrests,WARRANT ARREST,A1,111,FALSE,2017-09-24T14:14:00Z,2017,9,Sunday,14,Part Three,AVENUE DE LAFAYETTE,42.35389258,-71.06214998,"(42.35389258, -71.06214998)"
I172056438,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,791,FALSE,2017-07-12T18:38:00Z,2017,7,Wednesday,18,Part Three,CAROL AVE,42.34497953,-71.14090626,"(42.34497953, -71.14090626)"
I162063866,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,433,FALSE,2016-08-08T17:15:00Z,2016,8,Monday,17,Part Three,CROWELL ST,42.28297379,-71.08194011,"(42.28297379, -71.08194011)"
I162082064,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,194,FALSE,2016-10-07T08:40:00Z,2016,10,Friday,8,Part One,LEEDS ST,42.33052378,-71.0562433,"(42.33052378, -71.05624330)"
I152054527,3501,Missing Person Reported,MISSING PERSON,C6,221,FALSE,2015-07-02T01:23:00Z,2015,7,Thursday,1,Part Three,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)"
I182018310,1402,Vandalism,VANDALISM,A1,117,FALSE,2018-03-09T19:00:00Z,2018,3,Friday,19,Part Two,WASHINGTON ST,42.35174282,-71.0627594,"(42.35174282, -71.06275940)"
I162075857,619,Larceny,LARCENY ALL OTHERS,B2,297,FALSE,2016-09-16T23:15:00Z,2016,9,Friday,23,Part One,DALE ST,42.32064107,-71.08322982,"(42.32064107, -71.08322982)"
I182022304,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,C11,248,FALSE,2018-03-25T18:30:00Z,2018,3,Sunday,18,Part Three,DORCHESTER AVE,42.31465005,-71.05682996,"(42.31465005, -71.05682996)"
I172063029,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,619,FALSE,2017-08-02T16:30:00Z,2017,8,Wednesday,16,Part One,WESTLAND AVE,42.34355868,-71.08734146,"(42.34355868, -71.08734146)"
I172070091,3207,Property Found,PROPERTY - FOUND,A1,64,FALSE,2017-08-24T15:36:00Z,2017,8,Thursday,15,Part Three,CHARLES ST,42.36192792,-71.07081974,"(42.36192792, -71.07081974)"
I162089932,3115,Investigate Person,INVESTIGATE PERSON,C11,355,FALSE,2016-11-02T21:28:00Z,2016,11,Wednesday,21,Part Three,BISPHAM ST,42.29849875,-71.05865887,"(42.29849875, -71.05865887)"
I182040566,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,480,FALSE,2018-05-27T01:21:00Z,2018,5,Sunday,1,Part Three,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182031046,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,248,FALSE,2018-04-25T18:14:00Z,2018,4,Wednesday,18,Part Three,SAINT WILLIAM ST,42.31479826,-71.05611285,"(42.31479826, -71.05611285)"
I172050088,3110,Police Service Incidents,SERVICE TO OTHER PD OUTSIDE OF MA.,E18,527,FALSE,2017-06-22T16:29:00Z,2017,6,Thursday,16,Part Three,PRESCOTT ST,42.23651388,-71.13317161,"(42.23651388, -71.13317161)"
I162046380,1402,Vandalism,VANDALISM,A7,26,FALSE,2016-06-12T01:30:00Z,2016,6,Sunday,1,Part Two,BORDER ST,42.37863133,-71.04002134,"(42.37863133, -71.04002134)"
I162004030,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,425,FALSE,2016-01-15T13:56:00Z,2016,1,Friday,13,Part Two,BABSON ST,42.27404658,-71.09201819,"(42.27404658, -71.09201819)"
I172054044,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,NA,FALSE,2017-07-05T03:39:00Z,2017,7,Wednesday,3,Part Two,ATLANTIC AVE,NA,NA,"(0.00000000, 0.00000000)"
I172071387,1402,Vandalism,VANDALISM,A7,33,FALSE,2017-08-28T20:00:00Z,2017,8,Monday,20,Part Two,LAMSON CT,42.36638298,-71.03302732,"(42.36638298, -71.03302732)"
I172050805,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,111,FALSE,2017-06-24T19:00:00Z,2017,6,Saturday,19,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182018982,3410,Towed,TOWED MOTOR VEHICLE,D4,NA,FALSE,2018-03-13T00:01:00Z,2018,3,Tuesday,0,Part Three,ALBANY ST,NA,NA,"(0.00000000, 0.00000000)"
I182068425,617,Larceny,LARCENY THEFT FROM BUILDING,A1,117,FALSE,2018-08-15T17:00:00Z,2018,8,Wednesday,17,Part One,WASHINGTON ST,42.35174282,-71.0627594,"(42.35174282, -71.06275940)"
I162026695,2629,Harassment,HARASSMENT,A1,NA,FALSE,2016-04-06T19:34:00Z,2016,4,Wednesday,19,Part Two,NA,NA,NA,"(0.00000000, 0.00000000)"
I182061715,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,B2,330,FALSE,2018-08-04T09:58:00Z,2018,8,Saturday,9,Part Three,BLUE HILL AVE,42.3043395,-71.08477887,"(42.30433950, -71.08477887)"
I182071402,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,314,FALSE,2018-09-04T21:50:00Z,2018,9,Tuesday,21,Part One,HAROLD ST,42.31563061,-71.0905755,"(42.31563061, -71.09057550)"
I182049875,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,305,FALSE,2018-06-25T21:30:00Z,2018,6,Monday,21,Part Two,MARTIN LUTHER KING JR BLV,42.3208382,-71.09018598,"(42.32083820, -71.09018598)"
I172002949,3114,Investigate Property,INVESTIGATE PROPERTY,A1,82,FALSE,2017-01-11T21:18:00Z,2017,1,Wednesday,21,Part Three,COMMERCIAL ST,42.367271,-71.05272807,"(42.36727100, -71.05272807)"
I172068488,2647,Other,THREATS TO DO BODILY HARM,A7,30,FALSE,2017-08-06T21:00:00Z,2017,8,Sunday,21,Part Two,COTTAGE ST,42.37010622,-71.03261984,"(42.37010622, -71.03261984)"
I182050737,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,273,FALSE,2018-06-24T17:00:00Z,2018,6,Sunday,17,Part Three,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.33665048, -71.07841035)"
I172027264,301,Robbery,ROBBERY - STREET,C11,401,FALSE,2017-04-08T06:30:00Z,2017,4,Saturday,6,Part One,TALBOT AVE,42.2871482,-71.06493039,"(42.28714820, -71.06493039)"
I172103304,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ÊDAMAGE,B3,NA,FALSE,2017-12-13T22:41:00Z,2017,12,Wednesday,22,Part Three,GALLIVAN BLVD,NA,NA,"(0.00000000, 0.00000000)"
I172017853,3130,Search Warrants,SEARCH WARRANT,B3,444,FALSE,2017-03-06T09:58:00Z,2017,3,Monday,9,Part Three,BLUE HILL AVE,42.29663584,-71.08729385,"(42.29663584, -71.08729385)"
I182067971,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,211,FALSE,2018-08-24T20:33:00Z,2018,8,Friday,20,Part Two,W BROADWAY,42.33866399,-71.05061235,"(42.33866399, -71.05061235)"
I162083799,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,123,FALSE,2016-10-13T08:20:00Z,2016,10,Thursday,8,Part Three,HARRISON AVE,42.34891347,-71.06221241,"(42.34891347, -71.06221241)"
I172095697,1402,Vandalism,VANDALISM,D4,135,FALSE,2017-11-16T11:21:00Z,2017,11,Thursday,11,Part Two,DARTMOUTH ST,42.35304927,-71.07880445,"(42.35304927, -71.07880445)"
I182005842,1402,Vandalism,VANDALISM,A1,75,FALSE,2018-01-22T20:00:00Z,2018,1,Monday,20,Part Two,PORTLAND ST,42.3642384,-71.061655150000007,"(42.36423840, -71.06165515)"
I182017672,3301,Verbal Disputes,VERBAL DISPUTE,E5,716,FALSE,2018-03-08T08:52:00Z,2018,3,Thursday,8,Part Three,CENTRE ST,42.27072413,-71.1619128,"(42.27072413, -71.16191280)"
I162025226,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,637,FALSE,2016-03-31T13:00:00Z,2016,3,Thursday,13,Part One,BOYLSTON ST,42.31858074,-71.1098989,"(42.31858074, -71.10989890)"
I182010122,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E18,503,FALSE,2018-02-07T18:18:00Z,2018,2,Wednesday,18,Part Three,AMERICAN LEGION HWY,42.28671034,-71.10822888,"(42.28671034, -71.10822888)"
I172078195,2647,Other,THREATS TO DO BODILY HARM,C11,367,FALSE,2017-09-20T07:48:00Z,2017,9,Wednesday,7,Part Two,VICTORY RD,42.29578949,-71.05581808,"(42.29578949, -71.05581808)"
I182053661,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,C11,350,FALSE,2018-07-08T14:42:00Z,2018,7,Sunday,14,Part Three,DORCHESTER AVE,42.30308131,-71.05945101,"(42.30308131, -71.05945101)"
I152058801,3007,Medical Assistance,SUDDEN DEATH,A15,43,FALSE,2015-07-16T06:00:00Z,2015,7,Thursday,6,Part Three,OLD IRONSIDES WAY,42.38020475,-71.057414,"(42.38020475, -71.05741400)"
I182002518,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,915,FALSE,2018-01-10T15:36:00Z,2018,1,Wednesday,15,Part One,MERCER ST,42.33083888,-71.04975281,"(42.33083888, -71.04975281)"
I162079514,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E5,713,FALSE,2016-09-28T14:00:00Z,2016,9,Wednesday,14,Part Two,OVERLOOK RD,42.26205502,-71.15792362,"(42.26205502, -71.15792362)"
I182070456,3114,Investigate Property,INVESTIGATE PROPERTY,E13,NA,FALSE,2018-09-02T02:21:00Z,2018,9,Sunday,2,Part Three,COLUMBUS AVE,NA,NA,"(0.00000000, 0.00000000)"
I172066001,3402,Service,ANIMAL INCIDENTS,E5,NA,FALSE,2017-08-11T18:55:00Z,2017,8,Friday,18,Part Three,HASTINGS ST,NA,NA,"(0.00000000, 0.00000000)"
I152055964,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,574,FALSE,2015-07-07T09:42:00Z,2015,7,Tuesday,9,Part Two,WASHINGTON ST,42.30971857,-71.10429432,"(42.30971857, -71.10429432)"
I172093909,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B2,292,FALSE,2017-11-09T20:37:00Z,2017,11,Thursday,20,Part Two,LAMBERT ST,42.32824866,-71.09087012,"(42.32824866, -71.09087012)"
I162051492,3501,Missing Person Reported,MISSING PERSON,B2,331,FALSE,2016-06-29T17:28:00Z,2016,6,Wednesday,17,Part Three,GLENDALE ST,42.31303093,-71.06932562,"(42.31303093, -71.06932562)"
I172107140,3410,Towed,TOWED MOTOR VEHICLE,E18,481,FALSE,2017-12-29T13:52:00Z,2017,12,Friday,13,Part Three,ROSEWOOD ST,42.2676132,-71.09848676,"(42.26761320, -71.09848676)"
I162050804,2647,Other,THREATS TO DO BODILY HARM,C11,351,FALSE,2016-06-26T16:30:00Z,2016,6,Sunday,16,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
I162085739,616,Larceny,LARCENY THEFT OF BICYCLE,A1,106,FALSE,2016-10-19T18:02:00Z,2016,10,Wednesday,18,Part One,SUMMER ST,42.35332464,-71.05727637,"(42.35332464, -71.05727637)"
I152099090,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,915,FALSE,2015-12-01T01:02:00Z,2015,12,Tuesday,1,Part Three,E NINTH ST,42.33146325,-71.0501256,"(42.33146325, -71.05012560)"
I182045328,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E13,572,FALSE,2018-06-11T17:52:00Z,2018,6,Monday,17,Part Three,COLUMBUS AVE,42.31362799,-71.09560307,"(42.31362799, -71.09560307)"
I162081742,1402,Vandalism,VANDALISM,E13,916,FALSE,2016-10-05T20:30:00Z,2016,10,Wednesday,20,Part Two,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I182070415,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,938,FALSE,2018-09-01T22:35:00Z,2018,9,Saturday,22,Part Two,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
I162063480,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A7,9,FALSE,2016-08-08T00:24:00Z,2016,8,Monday,0,Part One,FAYWOOD AVE,42.39214603,-71.00893922,"(42.39214603, -71.00893922)"
I172049838,3501,Missing Person Reported,MISSING PERSON,E5,822,FALSE,2017-06-21T19:26:00Z,2017,6,Wednesday,19,Part Three,GEORGETOWNE DR,42.25943465,-71.14798064,"(42.25943465, -71.14798064)"
I172097171,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,437,FALSE,2017-11-21T12:41:00Z,2017,11,Tuesday,12,Part Two,NORFOLK ST,42.29022613,-71.07207217,"(42.29022613, -71.07207217)"
I152060800,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,726,FALSE,2015-07-23T10:47:00Z,2015,7,Thursday,10,Part Three,SPRING ST,42.27621405,-71.16651219,"(42.27621405, -71.16651219)"
I162084234,3207,Property Found,PROPERTY - FOUND,D14,784,FALSE,2016-10-14T16:20:00Z,2016,10,Friday,16,Part Three,CAMBRIDGE ST,42.34942119,-71.14899739,"(42.34942119, -71.14899739)"
I182002444,3125,Warrant Arrests,WARRANT ARREST,A1,61,FALSE,2017-12-22T13:30:00Z,2017,12,Friday,13,Part Three,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182025533,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B2,NA,FALSE,2018-04-06T00:41:00Z,2018,4,Friday,0,Part Two,MALCOLM X BLVD,NA,NA,"(0.00000000, 0.00000000)"
I172001843,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,408,FALSE,2017-01-07T15:29:00Z,2017,1,Saturday,15,Part Three,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)"
I162008159,3301,Verbal Disputes,VERBAL DISPUTE,C11,366,FALSE,2016-01-30T21:47:00Z,2016,1,Saturday,21,Part Three,SHEPTON ST,42.28947344,-71.06267856,"(42.28947344, -71.06267856)"
I182037924,3115,Investigate Person,INVESTIGATE PERSON,C6,914,FALSE,2018-05-18T16:56:00Z,2018,5,Friday,16,Part Three,COLONEL MICHAEL J. MCDONO,42.32790482,-71.05305583,"(42.32790482, -71.05305583)"
I162103594,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,572,FALSE,2016-12-20T16:30:00Z,2016,12,Tuesday,16,Part Three,CLEAVES ST,42.31388733,-71.0968344,"(42.31388733, -71.09683440)"
I162094657,2610,Other,TRESPASSING,E13,307,FALSE,2016-11-19T02:06:00Z,2016,11,Saturday,2,Part Two,WALDREN RD,42.31553312,-71.09519891,"(42.31553312, -71.09519891)"
I172070682,3115,Investigate Person,INVESTIGATE PERSON,A1,NA,FALSE,2017-08-25T22:45:00Z,2017,8,Friday,22,Part Three,ATLANTIC AVE,NA,NA,"(0.00000000, 0.00000000)"
I172081636,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,329,FALSE,2017-09-26T19:53:00Z,2017,9,Tuesday,19,Part Three,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)"
I162095389,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,179,FALSE,2016-11-21T17:54:00Z,2016,11,Monday,17,Part Two,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)"
I172033363,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,115,FALSE,2017-04-29T05:18:00Z,2017,4,Saturday,5,Part Three,KNEELAND ST,42.34974111,-71.05801618,"(42.34974111, -71.05801618)"
I172032306,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,946,TRUE,2017-04-25T18:23:00Z,2017,4,Tuesday,18,Part One,METCALF CT,42.30536762,-71.115715,"(42.30536762, -71.11571500)"
I172014530,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,E5,693,FALSE,2017-02-22T15:41:00Z,2017,2,Wednesday,15,Part Three,WELD ST,42.29231834,-71.15533994,"(42.29231834, -71.15533994)"
I172083406,3115,Investigate Person,INVESTIGATE PERSON,A1,954,FALSE,2017-10-06T13:15:00Z,2017,10,Friday,13,Part Three,FULTON ST,42.36293611,-71.05253795,"(42.36293611, -71.05253795)"
I162091567,3001,Medical Assistance,DEATH INVESTIGATION,B2,259,FALSE,2016-11-08T13:45:00Z,2016,11,Tuesday,13,Part Three,MAGNOLIA ST,42.31863829,-71.06984326,"(42.31863829, -71.06984326)"
I162070771,3301,Verbal Disputes,VERBAL DISPUTE,C11,336,FALSE,2016-08-31T08:07:00Z,2016,8,Wednesday,8,Part Three,RICHFIELD ST,42.30597541,-71.07011898,"(42.30597541, -71.07011898)"
I172083199,301,Robbery,ROBBERY - STREET,B2,600,FALSE,2017-10-05T20:59:00Z,2017,10,Thursday,20,Part One,HUNTINGTON AVE,42.33638389,-71.09869457,"(42.33638389, -71.09869457)"
I152070830,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,17,FALSE,2015-08-26T16:46:00Z,2015,8,Wednesday,16,Part Three,PRINCETON ST,42.37996868,-71.02942113,"(42.37996868, -71.02942113)"
I152106914,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,206,FALSE,2015-12-28T08:41:00Z,2015,12,Monday,8,Part Three,NORTHERN AVE,42.35320826,-71.0464714,"(42.35320826, -71.04647140)"
